"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",1039.43,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",493.898,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",52380,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",1026.796,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",476.828,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2018",50589,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2018",961.066,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2018",468.464,,,"T8:127_T9:133_T10:138_T12:145_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",48966.821,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",928.009,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2017",411.14,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2016",47522.434,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2016",898.583,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2016",382.806,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2015",46829,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2015",891.557,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","FA:13364","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2015",371.772,,,"T8:127_T9:133_T10:138_T11:142_T12:146_T30:159","S9:259"
"ALB","DA:845","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1991",678,,"C5:2067","T8:127_T9:133_T10:138_T34:400_T33:396_T30:251","S7:56_S9:66"
"ALB","DA:845","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1990",579,,"C5:2067","T8:127_T9:133_T10:138_T34:400_T33:396_T30:251","S7:56_S9:66"
"ALB","DA:845","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1989",563,,"C5:2067","T8:127_T9:133_T10:138_T34:400_T33:396_T30:251","S7:56_S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2008",1946.74,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2008",2863.265,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2007",1851.47,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2007",2537.44,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2006",1762.52,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2006",2213.02,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2005",1662.46,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2005",2068.267,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2004",1575.55,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2004",1959.827,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2003",1494.85,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2003",1690.974,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2002",1412.68,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2002",1335.83,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2001",1349.03,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2001",1208.191,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2000",1249,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2000",1153.576,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1999",1185.4,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","1999",1263.399,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"AND","FX:851","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","1998",1145.8,,,"T8:127_T9:133_T10:138_T33:396_T30:160","S9:66"
"ARE","BA:716","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2009",7450.614,,,"T8:127_T9:131_T10:138_T11:142_T12:145_T33:396_T30:154","S3:16_S5:2378"
"ARE","BA:716","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2009",3017.269,,,"T8:127_T9:131_T10:138_T11:142_T12:145_T33:396_T30:154","S3:16_S5:2378"
"ARE","BA:716","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2009",2028.758,,,"T8:127_T9:131_T10:138_T11:142_T12:145_T33:396_T30:154","S3:16_S5:2378"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2025",1006879.138,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2025",1522.602,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2025",811.442,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2024",592512.448,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2024",1239.004,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2024",647.771,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2023",190754.004,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2023",1239.416,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2023",643.878,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2022",83060.662,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2022",1210.281,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2022",635.912,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",51752.749,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",1203.938,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",544.819,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",36282.026,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",1209.431,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",514.353,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",25562.726,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2019",1153.437,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2019",530.921,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2018",18457.024,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2018",1262.229,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2018",656.951,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2017",14490.073,,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_EMTA_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2017",1307.518,,,"T30:61","R1:3513_S4:33"
